length 256," batch 1048576"
256," fft_test_len_256_factors_2_8_4_2_2_wgs_64_tpt_64"," 5.78ms "
256," fft_test_len_256_factors_2_8_2_2_2_2_wgs_64_tpt_64_dirReg"," 5.79ms "
256," fft_test_len_256_factors_2_2_8_8_wgs_64_tpt_64_dirReg"," 5.79ms "
256," fft_test_len_256_factors_2_8_2_4_2_wgs_64_tpt_64_halfLds_dirReg"," 5.8ms "
256," fft_test_len_256_factors_8_8_2_2_wgs_64_tpt_64_halfLds_dirReg"," 5.82ms "
256," fft_test_len_256_factors_8_8_2_2_wgs_64_tpt_64_dirReg"," 5.82ms "
256," fft_test_len_256_factors_8_2_8_2_wgs_64_tpt_64_halfLds_dirReg"," 5.83ms "
256," fft_test_len_256_factors_8_2_8_2_wgs_64_tpt_64_dirReg"," 5.83ms "
256," fft_test_len_256_factors_8_8_4_wgs_64_tpt_64"," 5.84ms "
256," fft_test_len_256_factors_2_8_2_2_4_wgs_64_tpt_64_dirReg"," 5.85ms "
256," fft_test_len_256_factors_2_8_2_2_4_wgs_64_tpt_64"," 5.85ms "
256," fft_test_len_256_factors_2_2_8_2_2_2_wgs_64_tpt_64"," 5.86ms "
256," fft_test_len_256_factors_4_4_2_2_4_wgs_128_tpt_128_dirReg"," 5.86ms "
256," fft_test_len_256_factors_4_8_8_wgs_64_tpt_64"," 5.86ms "
256," fft_test_len_256_factors_2_2_8_8_wgs_64_tpt_64"," 5.88ms "
256," fft_test_len_256_factors_8_8_2_2_wgs_64_tpt_64"," 5.88ms "
256," fft_test_len_256_factors_2_8_2_2_2_2_wgs_64_tpt_64_halfLds_dirReg"," 5.89ms "
256," fft_test_len_256_factors_2_4_2_2_2_4_wgs_128_tpt_128_dirReg"," 5.92ms "
256," fft_test_len_256_factors_4_8_8_wgs_64_tpt_64_halfLds_dirReg"," 5.93ms "
256," fft_test_len_256_factors_2_2_8_2_2_2_wgs_64_tpt_64_halfLds_dirReg"," 5.94ms "
256," fft_test_len_256_factors_2_2_2_2_2_2_4_wgs_128_tpt_128_dirReg"," 5.95ms "
256," fft_test_len_256_factors_16_2_2_4_wgs_64_tpt_64"," 5.95ms "
256," fft_test_len_256_factors_16_4_2_2_wgs_64_tpt_64"," 5.95ms "
256," fft_test_len_256_factors_8_2_2_8_wgs_64_tpt_64_halfLds_dirReg"," 5.95ms "
256," fft_test_len_256_factors_8_2_2_8_wgs_64_tpt_64_dirReg"," 5.95ms "
256," fft_test_len_256_factors_4_2_2_2_2_2_2_wgs_128_tpt_128_dirReg"," 5.96ms "
256," fft_test_len_256_factors_4_4_2_2_2_2_wgs_128_tpt_128_dirReg"," 5.97ms "
256," fft_test_len_256_factors_16_2_4_2_wgs_64_tpt_64"," 5.97ms "
256," fft_test_len_256_factors_2_8_2_2_4_wgs_64_tpt_64_halfLds_dirReg"," 5.98ms "
256," fft_test_len_256_factors_4_8_4_2_wgs_64_tpt_64"," 5.98ms "
256," fft_test_len_256_factors_8_4_8_wgs_64_tpt_64_dirReg"," 5.98ms "
256," fft_test_len_256_factors_8_4_8_wgs_64_tpt_64_halfLds_dirReg"," 6ms "
256," fft_test_len_256_factors_4_8_2_4_wgs_64_tpt_64"," 6.01ms "
256," fft_test_len_256_factors_8_4_2_2_2_wgs_128_tpt_128"," 6.03ms "
256," fft_test_len_256_factors_2_2_2_2_4_4_wgs_128_tpt_128_dirReg"," 6.04ms "
256," fft_test_len_256_factors_4_8_2_2_2_wgs_64_tpt_64"," 6.04ms "
256," fft_test_len_256_factors_8_2_2_2_4_wgs_128_tpt_128_dirReg"," 6.07ms "
256," fft_test_len_256_factors_4_2_2_4_4_wgs_128_tpt_128_dirReg"," 6.08ms "
256," fft_test_len_256_factors_4_2_2_2_4_2_wgs_128_tpt_128_dirReg"," 6.09ms "
256," fft_test_len_256_factors_4_2_4_2_4_wgs_128_tpt_128_dirReg"," 6.1ms "
256," fft_test_len_256_factors_2_2_4_2_2_2_2_wgs_128_tpt_128_dirReg"," 6.12ms "
256," fft_test_len_256_factors_8_2_2_2_4_wgs_128_tpt_128_halfLds_dirReg"," 6.12ms "
256," fft_test_len_256_factors_4_4_2_2_4_wgs_128_tpt_128_halfLds_dirReg"," 6.12ms "
256," fft_test_len_256_factors_2_4_2_2_2_2_2_wgs_128_tpt_128"," 6.13ms "
256," fft_test_len_256_factors_2_2_2_2_2_2_4_wgs_128_tpt_128"," 6.14ms "
256," fft_test_len_256_factors_2_2_4_2_2_4_wgs_128_tpt_128_dirReg"," 6.15ms "
256," fft_test_len_256_factors_2_2_2_4_2_2_2_wgs_128_tpt_128_dirReg"," 6.16ms "
256," fft_test_len_256_factors_2_2_2_2_4_4_wgs_128_tpt_128_halfLds_dirReg"," 6.16ms "
256," fft_test_len_256_factors_2_2_2_2_4_2_2_wgs_128_tpt_128_dirReg"," 6.18ms "
256," fft_test_len_256_factors_4_2_2_4_2_2_wgs_128_tpt_128"," 6.18ms "
256," fft_test_len_256_factors_8_2_2_2_4_wgs_128_tpt_128"," 6.18ms "
256," fft_test_len_256_factors_2_2_2_4_2_4_wgs_128_tpt_128_dirReg"," 6.19ms "
256," fft_test_len_256_factors_4_2_2_2_2_2_2_wgs_128_tpt_128"," 6.2ms "
256," fft_test_len_256_factors_2_8_2_2_2_2_wgs_64_tpt_64"," 6.2ms "
256," fft_test_len_256_factors_8_4_2_2_2_wgs_128_tpt_128_dirReg"," 6.2ms "
256," fft_test_len_256_factors_4_2_2_4_4_wgs_128_tpt_128_halfLds_dirReg"," 6.2ms "
256," fft_test_len_256_factors_4_2_2_4_4_wgs_128_tpt_128"," 6.2ms "
256," fft_test_len_256_factors_4_4_2_2_4_wgs_128_tpt_128"," 6.2ms "
256," fft_test_len_256_factors_2_2_2_4_4_2_wgs_128_tpt_128_dirReg"," 6.21ms "
256," fft_test_len_256_factors_4_2_4_2_2_2_wgs_128_tpt_128_dirReg"," 6.21ms "
256," fft_test_len_256_factors_2_2_8_8_wgs_64_tpt_64_halfLds_dirReg"," 6.22ms "
256," fft_test_len_256_factors_16_2_2_2_2_wgs_64_tpt_64"," 6.23ms "
256," fft_test_len_256_factors_8_2_4_2_2_wgs_128_tpt_128"," 6.23ms "
256," fft_test_len_256_factors_2_2_2_2_2_4_2_wgs_128_tpt_128_dirReg"," 6.24ms "
256," fft_test_len_256_factors_4_2_2_2_2_2_2_wgs_128_tpt_128_halfLds_dirReg"," 6.24ms "
