Stage,Length,Factors,WGS,TPT,Total_Time_ms
512K_z2z_1024_sbrr,1024,"[16, 16, 4]",1024,256,113.39342272727274
512K_z2z_1024_sbrr,1024,"[16, 8, 2, 2, 2]",512,128,113.56096845454546
512K_z2z_1024_sbrr,1024,"[16, 16, 2, 2]",512,128,116.67032445454545
512K_z2z_1024_sbrr,1024,"[16, 8, 8]",64,32,117.19373972727273
512K_z2z_1024_sbrr,1024,"[4, 2, 2, 2, 2, 2, 2, 2, 2]",128,64,117.31579145454545
512K_z2z_1024_sbrr,1024,"[4, 4, 2, 2, 2, 2, 2, 2]",512,128,117.43096327272727
512K_z2z_1024_sbrr,1024,"[8, 2, 2, 2, 2, 2, 2, 2]",512,128,117.79704027272727
512K_z2z_1024_sbrr,1024,"[16, 4, 2, 2, 2, 2]",512,128,119.50120054545455
512K_z2z_1024_sbrr,1024,"[16, 16, 4]",64,32,120.0945938181818
512K_z2z_1024_sbrr,1024,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",128,64,120.49415327272726
512K_z2z_1024_sbrr,1024,"[16, 2, 2, 2, 2, 2, 2]",512,128,121.66739236363635
512K_z2z_1024_sbrr,1024,"[16, 16, 4]",256,64,123.2973029090909
512K_z2z_1024_sbrr,1024,"[4, 2, 2, 2, 2, 2, 2, 2, 2]",512,128,123.538981
512K_z2z_1024_sbrr,1024,"[8, 8, 8, 2]",64,32,126.70328663636364
512K_z2z_1024_sbrr,1024,"[16, 4, 4, 4]",64,32,126.820073
512K_z2z_1024_sbrr,1024,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",512,128,127.79170036363637
512K_z2z_1024_sbrr,1024,"[16, 8, 8]",256,64,128.58087827272726
512K_z2z_512_sbrr,512,"[2, 2, 2, 2, 2, 2, 2, 2, 2]",64,32,129.3979960909091
512K_z2z_1024_sbrr,1024,"[16, 8, 4, 2]",64,32,130.48017336363637
512K_z2z_1024_sbrr,1024,"[8, 8, 4, 4]",256,64,130.49240072727272
512K_z2z_1024_sbrr,1024,"[8, 8, 4, 4]",64,32,130.7949090909091
512K_z2z_1024_sbrr,1024,"[8, 8, 8, 2]",256,64,131.50562445454545
512K_z2z_1024_sbrr,1024,"[16, 16, 2, 2]",64,32,133.91556363636363
512K_z2z_1024_sbrr,1024,"[16, 16, 2, 2]",256,64,134.19343927272726
512K_z2z_1024_sbrr,1024,"[16, 4, 4, 4]",256,64,134.63937863636363
512K_z2z_512_sbrr,512,"[2, 2, 2, 2, 2, 2, 2, 2, 2]",512,64,137.73573863636364
512K_z2z_512_sbrr,512,"[2, 2, 2, 2, 2, 2, 2, 2, 2]",256,64,137.850885
512K_z2z_1024_sbrr,1024,"[16, 8, 4, 2]",256,64,138.89883954545454
512K_z2z_1024_sbrr,1024,"[4, 4, 4, 4, 4]",256,64,142.92831290909092
