Mode,Stage,Length,Factors,WGS,TPT,GPU_Time_ms
z2z,N=262144_Stage1_512_sbrc,512,"[8, 8, 2, 2, 2]",64,32,20.280548
z2z,N=262144_Stage1_512_sbrc,512,"[8, 4, 4, 4]",512,128,20.285027
z2z,N=262144_Stage2_512_sbcc,512,"[4, 4, 4, 4, 2]",128,64,20.297291
z2z,N=262144_Stage1_512_sbrc,512,"[4, 4, 4, 4, 2]",128,64,20.304025
z2z,N=262144_Stage1_512_sbrc,512,"[16, 4, 2, 2, 2]",64,32,20.308559
z2z,N=262144_Stage1_512_sbrc,512,"[8, 2, 2, 2, 2, 2, 2]",256,128,20.326335
z2z,N=262144_Stage1_512_sbrc,512,"[16, 16, 2]",128,32,20.339199
z2z,N=262144_Stage1_512_sbrc,512,"[8, 8, 8]",128,64,20.339343
z2z,N=262144_Stage1_512_sbrc,512,"[16, 16, 2]",256,32,20.35058
z2z,N=262144_Stage1_512_sbrc,512,"[8, 4, 4, 2, 2]",64,32,20.361322
z2z,N=262144_Stage1_512_sbrc,512,"[4, 2, 2, 2, 2, 2, 2, 2]",256,128,20.372159
z2z,N=262144_Stage1_512_sbrc,512,"[8, 8, 4, 2]",256,32,20.396813
z2z,N=262144_Stage1_512_sbrc,512,"[8, 8, 4, 2]",128,32,20.402696
z2z,N=262144_Stage1_512_sbrc,512,"[8, 4, 4, 2, 2]",128,64,20.422478
z2z,N=262144_Stage1_512_sbrc,512,"[4, 2, 2, 2, 2, 2, 2, 2]",1024,128,20.424176
z2z,N=262144_Stage2_512_sbcc,512,"[4, 4, 4, 4, 2]",512,128,20.426835
z2z,N=262144_Stage2_512_sbcc,512,"[4, 4, 4, 4, 2]",1024,128,20.426965
z2z,N=262144_Stage1_512_sbrc,512,"[4, 4, 4, 2, 2, 2]",64,32,20.429225
z2z,N=262144_Stage1_512_sbrc,512,"[4, 2, 2, 2, 2, 2, 2, 2]",512,128,20.431633
z2z,N=262144_Stage1_512_sbrc,512,"[8, 8, 8]",256,128,20.444598
z2z,N=262144_Stage2_512_sbcc,512,"[8, 8, 2, 2, 2]",128,64,20.446514
z2z,N=262144_Stage1_512_sbrc,512,"[4, 4, 4, 2, 2, 2]",128,64,20.449753
z2z,N=262144_Stage1_512_sbrc,512,"[8, 8, 2, 2, 2]",128,64,20.465961
z2z,N=262144_Stage2_512_sbcc,512,"[8, 4, 4, 2, 2]",1024,256,20.470994
z2z,N=262144_Stage1_512_sbrc,512,"[4, 4, 4, 2, 2, 2]",128,32,20.472212
z2z,N=262144_Stage1_512_sbrc,512,"[4, 4, 4, 2, 2, 2]",256,32,20.472883
z2z,N=262144_Stage2_512_sbcc,512,"[8, 4, 4, 4]",64,32,20.483131
z2z,N=262144_Stage1_512_sbrc,512,"[8, 4, 4, 4]",256,32,20.483533
z2z,N=262144_Stage1_512_sbrc,512,"[8, 4, 4, 4]",128,32,20.486511
z2z,N=262144_Stage2_512_sbcc,512,"[16, 8, 4]",1024,64,20.489687
z2z,N=262144_Stage2_512_sbcc,512,"[16, 8, 4]",256,64,20.49072
z2z,N=262144_Stage2_512_sbcc,512,"[16, 8, 4]",512,64,20.495398
z2z,N=262144_Stage2_512_sbcc,512,"[8, 4, 4, 4]",512,256,20.504593
z2z,N=262144_Stage2_512_sbcc,512,"[8, 4, 4, 2, 2]",128,64,20.522404
z2z,N=262144_Stage2_512_sbcc,512,"[8, 8, 4, 2]",256,64,20.523982
z2z,N=262144_Stage2_512_sbcc,512,"[8, 8, 4, 2]",1024,64,20.524258
