Stage,Length,Factors,WGS,TPT,Total_Time_ms
128K_d2z_z2d_256_sbrr,256,"[4, 4, 4, 4]",64,16,532.3255441818181
128K_d2z_z2d_256_sbrr,256,"[16, 16]",64,64,532.5766960000001
128K_d2z_z2d_256_sbrr,256,"[4, 4, 4, 4]",128,16,532.9672012727273
128K_d2z_z2d_256_sbrr,256,"[16, 2, 2, 2, 2]",512,64,533.2582703636364
128K_d2z_z2d_256_sbrr,256,"[16, 4, 4]",256,128,533.6501263636364
128K_d2z_z2d_256_sbrr,256,"[4, 4, 4, 4]",512,512,533.8007784545455
128K_d2z_z2d_256_sbrr,256,"[4, 4, 4, 4]",256,16,535.9035228181818
128K_d2z_z2d_256_sbrr,256,"[8, 4, 4, 2]",512,256,535.9364868181817
128K_d2z_z2d_256_sbrr,256,"[16, 2, 2, 2, 2]",1024,64,536.1054265454545
128K_d2z_z2d_256_sbrr,256,"[16, 16]",128,64,536.2467088181818
128K_d2z_z2d_256_sbrr,256,"[8, 8, 2, 2]",128,16,537.3030828181818
128K_d2z_z2d_256_sbrr,256,"[4, 4, 2, 2, 2, 2]",1024,256,537.3559731818182
128K_d2z_z2d_256_sbrr,256,"[4, 4, 2, 2, 2, 2]",512,512,537.6383870909092
128K_d2z_z2d_256_sbrr,256,"[16, 8, 2]",256,64,538.0618851818181
128K_d2z_z2d_256_sbrr,256,"[8, 4, 4, 2]",128,16,538.7247617272727
128K_d2z_z2d_256_sbrr,256,"[8, 8, 2, 2]",256,16,538.8843700909091
128K_d2z_z2d_256_sbrr,256,"[2, 2, 2, 2, 2, 2, 2, 2]",1024,512,538.8997966363637
128K_d2z_z2d_256_sbrr,256,"[8, 8, 2, 2]",256,256,540.7503429999999
128K_d2z_z2d_256_sbrr,256,"[8, 4, 4, 2]",256,16,540.9224660909092
128K_d2z_z2d_256_sbrr,256,"[8, 4, 4, 2]",64,16,541.0150538181819
128K_d2z_z2d_256_sbrr,256,"[8, 8, 2, 2]",64,16,541.3722344545454
128K_d2z_z2d_256_sbrr,256,"[16, 4, 2, 2]",1024,64,541.6134013636364
128K_d2z_z2d_256_sbrr,256,"[4, 4, 4, 4]",1024,256,544.2382240909092
128K_d2z_z2d_256_sbrr,256,"[8, 8, 4]",256,256,545.8282048181818
128K_d2z_z2d_256_sbrr,256,"[16, 4, 4]",1024,64,545.9517769090909
128K_d2z_z2d_256_sbrr,256,"[4, 4, 4, 2, 2]",1024,256,546.5367431818182
128K_d2z_z2d_256_sbrr,256,"[16, 4, 2, 2]",64,16,546.8467517272727
128K_d2z_z2d_256_sbrr,256,"[16, 8, 2]",256,128,547.6409997272727
128K_d2z_z2d_256_sbrr,256,"[16, 4, 2, 2]",128,16,548.1399652727273
128K_d2z_z2d_256_sbrr,256,"[4, 4, 2, 2, 2, 2]",1024,512,548.6259890909091
128K_d2z_z2d_256_sbrr,256,"[16, 8, 2]",512,64,550.0615892727272
128K_d2z_z2d_256_sbrr,256,"[16, 8, 2]",128,128,551.7334650909091
128K_d2z_z2d_256_sbrr,256,"[16, 4, 2, 2]",256,16,554.2305827272727
128K_d2z_z2d_256_sbrr,256,"[8, 8, 2, 2]",512,256,557.7120381818181
