Stage,Length,Factors,WGS,TPT,GPU_Time_ms
Stage1_256,256,"[4, 2, 2, 2, 2, 2, 2]",128,64,9.711608
Stage1_256,256,"[2, 2, 2, 2, 2, 2, 2, 2]",64,32,9.713039
Stage1_256,256,"[4, 4, 4, 2, 2]",64,16,9.721097
Stage1_256,256,"[4, 4, 4, 4]",512,128,9.725828
Stage1_256,256,"[16, 4, 4]",256,64,9.759031
Stage2_128,128,"[8, 4, 2, 2]",256,128,9.760658
Stage1_256,256,"[4, 4, 4, 2, 2]",128,64,9.76847
Stage1_256,256,"[16, 4, 2, 2]",256,64,9.776513
Stage1_256,256,"[4, 4, 2, 2, 2, 2]",128,64,9.780119
Stage1_256,256,"[2, 2, 2, 2, 2, 2, 2, 2]",256,32,9.786177
Stage1_256,256,"[4, 4, 2, 2, 2, 2]",256,128,9.790465
Stage2_128,128,"[4, 4, 2, 2, 2]",128,128,9.794214
Stage1_256,256,"[2, 2, 2, 2, 2, 2, 2, 2]",512,32,9.794467
Stage1_256,256,"[2, 2, 2, 2, 2, 2, 2, 2]",128,64,9.797823
Stage1_256,256,"[8, 2, 2, 2, 2, 2]",64,16,9.809386
Stage1_256,256,"[4, 4, 2, 2, 2, 2]",64,16,9.817673
Stage1_256,256,"[4, 4, 4, 2, 2]",1024,128,9.817797
Stage1_256,256,"[16, 16]",128,16,9.857544
Stage1_256,256,"[16, 16]",256,16,9.859506
Stage1_256,256,"[8, 2, 2, 2, 2, 2]",256,128,9.863608
Stage1_256,256,"[16, 4, 4]",128,64,9.863907
Stage1_256,256,"[2, 2, 2, 2, 2, 2, 2, 2]",128,32,9.878782
Stage1_256,256,"[16, 2, 2, 2, 2]",256,64,9.889923
Stage1_256,256,"[4, 4, 4, 2, 2]",256,128,9.901531
Stage1_256,256,"[16, 16]",512,32,9.904845
Stage1_256,256,"[8, 2, 2, 2, 2, 2]",512,128,9.907581
Stage1_256,256,"[16, 16]",64,32,9.907784
Stage1_256,256,"[16, 16]",256,32,9.910344
Stage1_256,256,"[16, 4, 4]",128,16,9.916705
Stage1_256,256,"[16, 4, 4]",256,16,9.918011
Stage1_256,256,"[16, 4, 2, 2]",128,64,9.931448
Stage1_256,256,"[16, 8, 2]",128,16,9.962852
Stage1_256,256,"[4, 4, 4, 4]",256,128,9.963271
Stage1_256,256,"[16, 8, 2]",256,16,9.965427
Stage1_256,256,"[4, 2, 2, 2, 2, 2, 2]",64,16,9.969717
Stage2_128,128,"[2, 2, 2, 2, 2, 2, 2]",128,128,9.988638
Stage2_128,128,"[8, 2, 2, 2, 2]",128,128,10.018561
Stage1_256,256,"[16, 2, 2, 2, 2]",128,64,10.026256
Stage1_256,256,"[8, 8, 4]",128,16,10.047522
Stage1_256,256,"[8, 8, 4]",256,16,10.051461
Stage1_256,256,"[8, 4, 4, 2]",128,16,10.066352
Stage1_256,256,"[8, 4, 4, 2]",256,16,10.066397
Stage1_256,256,"[4, 4, 4, 4]",128,16,10.087647
Stage1_256,256,"[16, 4, 2, 2]",128,16,10.088797
Stage1_256,256,"[4, 4, 4, 4]",256,16,10.08928
Stage1_256,256,"[16, 4, 2, 2]",256,16,10.090963
Stage1_256,256,"[16, 4, 4]",1024,64,10.119122
Stage1_256,256,"[8, 8, 2, 2]",256,16,10.121612
Stage1_256,256,"[16, 4, 4]",512,64,10.121697
Stage2_128,128,"[4, 4, 4, 2]",128,128,10.123273
Stage1_256,256,"[8, 2, 2, 2, 2, 2]",1024,128,10.124785
Stage1_256,256,"[8, 8, 2, 2]",128,16,10.128696
Stage1_256,256,"[2, 2, 2, 2, 2, 2, 2, 2]",64,16,10.170645
Stage1_256,256,"[16, 2, 2, 2, 2]",256,16,10.186528
Stage1_256,256,"[16, 2, 2, 2, 2]",128,16,10.186586
Stage1_256,256,"[8, 4, 4, 2]",512,128,10.195184
Stage1_256,256,"[8, 4, 2, 2, 2]",256,16,10.199301
Stage1_256,256,"[8, 4, 2, 2, 2]",128,16,10.20279
Stage1_256,256,"[4, 4, 4, 2, 2]",128,16,10.205044
Stage1_256,256,"[4, 4, 4, 2, 2]",256,16,10.209017
Stage2_128,128,"[8, 4, 2, 2]",1024,128,10.212225
Stage2_128,128,"[8, 4, 2, 2]",128,128,10.232576
Stage1_256,256,"[8, 4, 2, 2, 2]",256,128,10.243572
Stage1_256,256,"[4, 4, 4, 4]",1024,128,10.292291
Stage1_256,256,"[16, 4, 2, 2]",1024,64,10.303934
Stage1_256,256,"[16, 4, 2, 2]",512,64,10.308177
Stage1_256,256,"[8, 4, 2, 2, 2]",512,128,10.309649
Stage1_256,256,"[8, 2, 2, 2, 2, 2]",128,16,10.351322
Stage1_256,256,"[8, 2, 2, 2, 2, 2]",256,16,10.359407
Stage1_256,256,"[4, 4, 2, 2, 2, 2]",128,16,10.36082
Stage1_256,256,"[4, 4, 2, 2, 2, 2]",256,16,10.361405
Stage1_256,256,"[16, 2, 2, 2, 2]",512,64,10.385341
Stage1_256,256,"[16, 2, 2, 2, 2]",1024,64,10.387584
Stage1_256,256,"[8, 4, 4, 2]",256,128,10.431245
Stage1_256,256,"[8, 8, 4]",512,128,10.471685
Stage2_128,128,"[16, 4, 2]",1024,64,10.538887
Stage1_256,256,"[8, 8, 2, 2]",512,128,10.53932
Stage1_256,256,"[4, 2, 2, 2, 2, 2, 2]",256,16,10.579971
