Stage,Length,Factors,WGS,TPT,GPU_Time_ms
N=524288_Stage2_64_sbcc,64,"[16, 4]",128,64,126.651808
N=524288_Stage2_64_sbcc,64,"[16, 4]",512,64,127.843576
N=524288_Stage2_64_sbcc,64,"[8, 8]",1024,64,131.740809
N=524288_Stage2_64_sbcc,64,"[8, 8]",64,64,132.410004
N=524288_Stage2_64_sbcc,64,"[16, 2, 2]",64,64,132.627167
N=524288_Stage2_64_sbcc,64,"[4, 4, 4]",512,128,134.726939
N=524288_Stage2_64_sbcc,64,"[4, 4, 4]",256,128,135.006206
N=524288_Stage2_64_sbcc,64,"[2, 2, 2, 2, 2, 2]",256,256,135.467002
N=524288_Stage2_64_sbcc,64,"[4, 4, 2, 2]",256,256,135.918082
N=524288_Stage2_64_sbcc,64,"[8, 4, 2]",1024,128,136.91132
N=524288_Stage2_64_sbcc,64,"[16, 4]",64,64,138.847939
N=524288_Stage2_64_sbcc,64,"[16, 2, 2]",1024,64,140.862283
N=524288_Stage1_4096_sbrr,4096,"[16, 16, 8, 2]",1024,1024,146.780204
N=524288_Stage2_64_sbcc,64,"[4, 4, 4]",1024,128,148.751168
N=524288_Stage2_64_sbcc,64,"[4, 4, 4]",256,256,150.511147
N=524288_Stage2_64_sbcc,64,"[8, 4, 2]",256,256,151.770362
N=524288_Stage2_64_sbcc,64,"[8, 2, 2, 2]",256,256,159.518566
N=524288_Stage1_4096_sbrr,4096,"[16, 16, 8, 2]",128,128,161.558284
N=524288_Stage2_64_sbcc,64,"[16, 4]",128,128,163.296673
N=524288_Stage2_64_sbcc,64,"[8, 8]",128,128,167.243054
N=524288_Stage1_4096_sbrr,4096,"[16, 8, 8, 4]",128,128,170.549841
N=524288_Stage1_4096_sbrr,4096,"[16, 16, 4, 4]",1024,1024,176.176552
N=524288_Stage2_64_sbcc,64,"[4, 2, 2, 2, 2]",512,256,176.921512
N=524288_Stage2_64_sbcc,64,"[16, 2, 2]",128,128,177.968113
N=524288_Stage2_64_sbcc,64,"[16, 2, 2]",256,128,182.217155
N=524288_Stage2_64_sbcc,64,"[4, 2, 2, 2, 2]",1024,256,182.336986
N=524288_Stage2_64_sbcc,64,"[2, 2, 2, 2, 2, 2]",1024,256,182.381853
N=524288_Stage2_64_sbcc,64,"[2, 2, 2, 2, 2, 2]",512,256,182.6785
N=524288_Stage1_4096_sbrr,4096,"[8, 8, 8, 4, 2]",128,128,183.997734
N=524288_Stage1_4096_sbrr,4096,"[16, 16, 16]",1024,1024,185.205125
N=524288_Stage1_4096_sbrr,4096,"[8, 8, 8, 8]",128,128,185.839538
N=524288_Stage2_64_sbcc,64,"[16, 2, 2]",512,128,186.701049
N=524288_Stage2_64_sbcc,64,"[4, 4, 2, 2]",512,256,188.39243
N=524288_Stage1_4096_sbrr,4096,"[16, 16, 4, 2, 2]",128,128,189.659594
N=524288_Stage1_4096_sbrr,4096,"[16, 16, 4, 4]",128,128,191.907921
N=524288_Stage2_64_sbcc,64,"[8, 2, 2, 2]",512,256,195.79986
N=524288_Stage1_4096_sbrr,4096,"[16, 8, 8, 2, 2]",128,128,197.635079
N=524288_Stage2_64_sbcc,64,"[16, 4]",1024,64,198.559999
N=524288_Stage1_4096_sbrr,4096,"[16, 8, 4, 4, 2]",128,128,199.040557
N=524288_Stage2_64_sbcc,64,"[4, 4, 2, 2]",1024,256,201.501775
N=524288_Stage2_64_sbcc,64,"[4, 2, 2, 2, 2]",512,512,209.829572
N=524288_Stage2_64_sbcc,64,"[8, 2, 2, 2]",1024,256,209.879065
N=524288_Stage1_4096_sbrr,4096,"[8, 8, 8, 2, 2, 2]",128,128,210.585799
N=524288_Stage1_4096_sbrr,4096,"[8, 8, 4, 4, 2, 2]",128,128,211.574636
N=524288_Stage2_64_sbcc,64,"[16, 4]",256,128,211.907334
N=524288_Stage1_4096_sbrr,4096,"[16, 4, 4, 4, 2, 2]",128,128,215.292964
N=524288_Stage2_64_sbcc,64,"[8, 8]",256,128,216.712515
N=524288_Stage1_4096_sbrr,4096,"[16, 16, 2, 2, 2, 2]",128,128,217.016219
N=524288_Stage2_64_sbcc,64,"[8, 8]",512,128,218.775682
N=524288_Stage2_64_sbcc,64,"[8, 4, 2]",512,256,219.433203
N=524288_Stage1_4096_sbrr,4096,"[8, 8, 4, 4, 4]",128,128,220.417245
N=524288_Stage2_64_sbcc,64,"[16, 4]",512,128,221.51509
N=524288_Stage2_64_sbcc,64,"[2, 2, 2, 2, 2, 2]",512,512,225.650295
N=524288_Stage1_4096_sbrr,4096,"[16, 4, 4, 4, 4]",128,128,226.614824
N=524288_Stage1_4096_sbrr,4096,"[16, 8, 4, 2, 2, 2]",128,128,227.08648
N=524288_Stage1_4096_sbrr,4096,"[8, 4, 4, 4, 4, 2]",128,128,227.18384
N=524288_Stage2_64_sbcc,64,"[4, 4, 2, 2]",512,512,228.985874
N=524288_Stage1_4096_sbrr,4096,"[4, 4, 4, 4, 4, 4]",128,128,230.45455
N=524288_Stage1_4096_sbrr,4096,"[16, 16, 16]",64,64,230.624864
N=524288_Stage2_64_sbcc,64,"[8, 8]",1024,128,230.708031
N=524288_Stage2_64_sbcc,64,"[8, 4, 2]",1024,256,237.827518
N=524288_Stage2_64_sbcc,64,"[8, 8]",256,256,238.647031
N=524288_Stage1_4096_sbrr,4096,"[8, 8, 4, 2, 2, 2, 2]",128,128,240.422593
N=524288_Stage2_64_sbcc,64,"[4, 4, 4]",512,256,240.59697
N=524288_Stage1_4096_sbrr,4096,"[16, 4, 4, 2, 2, 2, 2]",128,128,242.945053
N=524288_Stage2_64_sbcc,64,"[16, 2, 2]",1024,128,245.58702
N=524288_Stage2_64_sbcc,64,"[4, 4, 4]",1024,256,253.811397
N=524288_Stage1_4096_sbrr,4096,"[16, 8, 2, 2, 2, 2, 2]",128,128,254.3295
N=524288_Stage1_4096_sbrr,4096,"[8, 4, 4, 4, 2, 2, 2]",128,128,255.694442
N=524288_Stage1_4096_sbrr,4096,"[4, 4, 4, 4, 4, 2, 2]",128,128,256.930784
N=524288_Stage1_4096_sbrr,4096,"[8, 8, 2, 2, 2, 2, 2, 2]",128,128,265.933558
N=524288_Stage1_4096_sbrr,4096,"[16, 4, 2, 2, 2, 2, 2, 2]",128,128,267.91767
N=524288_Stage1_4096_sbrr,4096,"[8, 8, 8, 8]",64,64,270.871112
N=524288_Stage2_64_sbcc,64,"[8, 4, 2]",512,512,271.402654
N=524288_Stage1_4096_sbrr,4096,"[16, 8, 8, 4]",64,64,271.692738
N=524288_Stage1_4096_sbrr,4096,"[16, 16, 8, 2]",64,64,274.277619
N=524288_Stage1_4096_sbrr,4096,"[16, 16, 4, 4]",64,64,276.871798
N=524288_Stage2_64_sbcc,64,"[8, 2, 2, 2]",512,512,279.204884
N=524288_Stage1_4096_sbrr,4096,"[8, 4, 4, 2, 2, 2, 2, 2]",128,128,283.631557
N=524288_Stage1_4096_sbrr,4096,"[4, 4, 4, 4, 2, 2, 2, 2]",128,128,286.607464
N=524288_Stage2_64_sbcc,64,"[16, 2, 2]",256,256,288.143449
N=524288_Stage2_64_sbcc,64,"[4, 4, 4]",512,512,289.567065
N=524288_Stage1_4096_sbrr,4096,"[16, 8, 8, 2, 2]",64,64,320.66457
N=524288_Stage1_4096_sbrr,4096,"[8, 8, 8, 4, 2]",64,64,321.996151
N=524288_Stage2_64_sbcc,64,"[16, 4]",256,256,322.853905
N=524288_Stage1_4096_sbrr,4096,"[16, 8, 4, 4, 2]",64,64,323.051448
